Index,Arrival_Time,Creation_Time,x,y,z,User,Model,Device,gt,event_ts,event_ts_dbl
323816,1424698517429,1424698515410853472,-6.098633,0.9975128000000001,7.656891000000001,a,nexus4,nexus4_1,bike,2015-02-23T13:35:17.429+0000,1424698517.429
323007,1424698517426,1424700362955426327,-5.771164,1.6156616000000001,8.771896,a,nexus4,nexus4_2,bike,2015-02-23T13:35:17.426+0000,1424698517.426
323006,1424698517426,1424700362947613827,-6.8339996,1.4906921,8.619553,a,nexus4,nexus4_2,bike,2015-02-23T13:35:17.426+0000,1424698517.426
165910,1424698517426,54300337511000,-5.7939680000000005,0.26815059999999996,6.847417,a,s3,s3_1,bike,2015-02-23T13:35:17.426+0000,1424698517.426
109495,1424698517425,282244562254000,-6.282307,1.072589,7.201669,a,samsungold,samsungold_1,bike,2015-02-23T13:35:17.425+0000,1424698517.425
323815,1424698517423,1424698515405848589,-5.9796143,0.90586853,7.58667,a,nexus4,nexus4_1,bike,2015-02-23T13:35:17.423+0000,1424698517.423
162005,1424698517422,275957389754000,-6.5792660000000005,1.8579005000000002,6.2823853,a,s3,s3_2,bike,2015-02-23T13:35:17.422+0000,1424698517.422
159317,1424698517422,15991285029000,6.7301009999999994,-1.6208745,8.826224,a,s3mini,s3mini_1,bike,2015-02-23T13:35:17.422+0000,1424698517.422
323814,1424698517419,1424698515400813188,-5.915344,0.85350037,7.5331116,a,nexus4,nexus4_1,bike,2015-02-23T13:35:17.419+0000,1424698517.419
110395,1424698517419,12234801815000,6.741988,-1.53227,7.354896000000001,a,samsungold,samsungold_2,bike,2015-02-23T13:35:17.419+0000,1424698517.419
165909,1424698517416,54300327507000,-5.765238,0.22984336,6.8761472999999995,a,s3,s3_1,bike,2015-02-23T13:35:17.416+0000,1424698517.416
323813,1424698517413,1424698515395777788,-5.895111,0.76542664,7.560486,a,nexus4,nexus4_1,bike,2015-02-23T13:35:17.413+0000,1424698517.413
323005,1424698517413,1424700362942731014,-6.923263499999999,1.3954773,9.024216000000001,a,nexus4,nexus4_2,bike,2015-02-23T13:35:17.413+0000,1424698517.413
159316,1424698517413,15991275172000,6.599616999999999,-1.364695,8.92319,a,s3mini,s3mini_1,bike,2015-02-23T13:35:17.413+0000,1424698517.413
323004,1424698517412,1424700362937420956,-6.893509,1.3478698999999998,9.111099000000001,a,nexus4,nexus4_2,bike,2015-02-23T13:35:17.412+0000,1424698517.412
162004,1424698517412,275957379611000,-6.4739213,1.9536686,6.5505357,a,s3,s3_2,bike,2015-02-23T13:35:17.412+0000,1424698517.412
110394,1424698517410,12234792293000,7.048442,-1.53227,7.508122999999999,a,samsungold,samsungold_2,bike,2015-02-23T13:35:17.410+0000,1424698517.41
323812,1424698517409,1424698515390711870,-5.914154,0.7118683000000001,7.612854,a,nexus4,nexus4_1,bike,2015-02-23T13:35:17.409+0000,1424698517.409
165908,1424698517406,54300317127000,-5.755661,0.29688102,6.9527617,a,s3,s3_1,bike,2015-02-23T13:35:17.406+0000,1424698517.406
109494,1424698517405,282244542265000,-6.435534,1.072589,7.354896000000001,a,samsungold,samsungold_1,bike,2015-02-23T13:35:17.405+0000,1424698517.405
323002,1424698517404,1424700362927350155,-6.8209076,1.2181396,9.30867,a,nexus4,nexus4_2,bike,2015-02-23T13:35:17.404+0000,1424698517.404
323003,1424698517404,1424700362934033505,-6.874466,1.2943115,9.287247,a,nexus4,nexus4_2,bike,2015-02-23T13:35:17.404+0000,1424698517.404
323811,1424698517403,1424698515385676470,-5.796325700000001,0.6345062,7.549774,a,nexus4,nexus4_1,bike,2015-02-23T13:35:17.403+0000,1424698517.403
162003,1424698517402,275957369530000,-6.4260373,2.0590134,6.7516490000000005,a,s3,s3_2,bike,2015-02-23T13:35:17.402+0000,1424698517.402
159315,1424698517402,15991264826000,6.271611,-1.1935096,8.963891,a,s3mini,s3mini_1,bike,2015-02-23T13:35:17.402+0000,1424698517.402
323810,1424698517399,1424698515380671587,-5.63089,0.58451843,7.625946000000001,a,nexus4,nexus4_1,bike,2015-02-23T13:35:17.399+0000,1424698517.399
165907,1424698517396,54300307124000,-5.7365074,0.35434186,7.019799000000001,a,s3,s3_1,bike,2015-02-23T13:35:17.396+0000,1424698517.396
323001,1424698517394,1424700362922284237,-6.749496499999999,1.1622008999999998,9.396744,a,nexus4,nexus4_2,bike,2015-02-23T13:35:17.394+0000,1424698517.394
323809,1424698517393,1424698515375605669,-5.6106567,0.55952454,7.535492,a,nexus4,nexus4_1,bike,2015-02-23T13:35:17.393+0000,1424698517.393
162002,1424698517392,275957359412000,-6.4643445,2.135628,6.933608,a,s3,s3_2,bike,2015-02-23T13:35:17.392+0000,1424698517.392
159314,1424698517392,15991254847000,5.7879825,-1.0666169,9.015367,a,s3mini,s3mini_1,bike,2015-02-23T13:35:17.392+0000,1424698517.392
322999,1424698517390,1424700362912243954,-6.7042694,0.9182129000000001,9.516952499999999,a,nexus4,nexus4_2,bike,2015-02-23T13:35:17.390+0000,1424698517.39
323000,1424698517390,1424700362919201962,-6.7423553,1.0467529,9.512192,a,nexus4,nexus4_2,bike,2015-02-23T13:35:17.390+0000,1424698517.39
110393,1424698517390,12234772243000,7.201669,-1.8387240000000002,7.66135,a,samsungold,samsungold_2,bike,2015-02-23T13:35:17.390+0000,1424698517.39
323808,1424698517389,1424698515370570268,-5.521393,0.5535736,7.589050299999999,a,nexus4,nexus4_1,bike,2015-02-23T13:35:17.389+0000,1424698517.389
109493,1424698517389,282244526670000,-6.588761,1.072589,7.508122999999999,a,samsungold,samsungold_1,bike,2015-02-23T13:35:17.389+0000,1424698517.389
165906,1424698517386,54300296797000,-5.755661,0.47884035,7.134721300000001,a,s3,s3_1,bike,2015-02-23T13:35:17.386+0000,1424698517.386
323807,1424698517383,1424698515365534868,-5.5951843,0.54048157,7.597381599999999,a,nexus4,nexus4_1,bike,2015-02-23T13:35:17.383+0000,1424698517.383
159313,1424698517382,15991245173000,5.2265425,-0.9732430000000001,9.058461999999999,a,s3mini,s3mini_1,bike,2015-02-23T13:35:17.382+0000,1424698517.382
162001,1424698517381,275957349298000,-6.5601125,2.2122424,7.038953,a,s3,s3_2,bike,2015-02-23T13:35:17.381+0000,1424698517.381
323806,1424698517379,1424698515360499468,-5.442840599999999,0.5547638,7.458130000000001,a,nexus4,nexus4_1,bike,2015-02-23T13:35:17.379+0000,1424698517.379
322998,1424698517377,1424700362907208553,-6.529312,0.8741760000000001,9.493149,a,nexus4,nexus4_2,bike,2015-02-23T13:35:17.377+0000,1424698517.377
165905,1424698517376,54300286723000,-5.7365074,0.59376204,7.345411,a,s3,s3_1,bike,2015-02-23T13:35:17.376+0000,1424698517.376
322997,1424698517374,1424700362902600399,-6.268661499999999,0.77182007,9.50029,a,nexus4,nexus4_2,bike,2015-02-23T13:35:17.374+0000,1424698517.374
323805,1424698517373,1424698515355464067,-5.424988,0.5119170999999999,7.5343018,a,nexus4,nexus4_1,bike,2015-02-23T13:35:17.373+0000,1424698517.373
159312,1424698517373,15991235164000,4.7752349999999995,-0.94092125,9.087193,a,s3mini,s3mini_1,bike,2015-02-23T13:35:17.373+0000,1424698517.373
162000,1424698517371,275957339175000,-6.6941880000000005,2.2218192,7.105990400000001,a,s3,s3_2,bike,2015-02-23T13:35:17.371+0000,1424698517.371
322996,1424698517370,1424700362899548641,-5.931839,0.74801636,9.457443,a,nexus4,nexus4_2,bike,2015-02-23T13:35:17.370+0000,1424698517.37
322995,1424698517370,1424700362892224423,-5.586685,0.713501,9.458633,a,nexus4,nexus4_2,bike,2015-02-23T13:35:17.370+0000,1424698517.37
110392,1424698517369,12234751796000,7.048442,-1.685497,7.66135,a,samsungold,samsungold_2,bike,2015-02-23T13:35:17.369+0000,1424698517.369
135284,1424786886325,100596791923000,-2.298405,-0.612908,10.266209,b,samsungold,samsungold_2,bike,2015-02-24T14:08:06.325+0000,1424786886.325
363269,1424786886324,1424786889806461043,-1.4378662,0.569046,10.547852,b,nexus4,nexus4_1,bike,2015-02-24T14:08:06.324+0000,1424786886.324
363268,1424786886320,1424786889801578231,-1.4592896,0.68330383,10.526428,b,nexus4,nexus4_1,bike,2015-02-24T14:08:06.320+0000,1424786886.32
183818,1424786886318,141083407855000,-1.3215994,-1.3790601,9.701305,b,s3,s3_1,bike,2015-02-24T14:08:06.318+0000,1424786886.318
363267,1424786886317,1424786889796542831,-1.3831177,0.73210144,10.622833,b,nexus4,nexus4_1,bike,2015-02-24T14:08:06.317+0000,1424786886.317
135283,1424786886316,100596782463000,-2.604859,-0.45968100000000006,10.419436,b,samsungold,samsungold_2,bike,2015-02-24T14:08:06.316+0000,1424786886.316
363266,1424786886310,1424786889791507430,-1.3009948999999998,0.7701874,10.709717,b,nexus4,nexus4_1,bike,2015-02-24T14:08:06.310+0000,1424786886.31
135490,1424786886310,12556321973000,-2.145178,-0.9193620000000001,10.266209,b,samsungold,samsungold_1,bike,2015-02-24T14:08:06.310+0000,1424786886.31
183817,1424786886307,141083397765000,-1.6759412,-1.5514427,9.77792,b,s3,s3_1,bike,2015-02-24T14:08:06.307+0000,1424786886.307
363265,1424786886305,1424786889786441512,-1.1795959999999999,0.9225310999999999,10.718048,b,nexus4,nexus4_1,bike,2015-02-24T14:08:06.305+0000,1424786886.305
135489,1424786886301,12556312329000,-1.9919509999999998,-0.45968100000000006,10.112982,b,samsungold,samsungold_1,bike,2015-02-24T14:08:06.301+0000,1424786886.301
363264,1424786886300,1424786889781436629,-0.98083496,0.9141998,10.803741,b,nexus4,nexus4_1,bike,2015-02-24T14:08:06.300+0000,1424786886.3
183816,1424786886297,141083387662000,-1.9249381999999997,-1.7525556,9.931149000000001,b,s3,s3_1,bike,2015-02-24T14:08:06.297+0000,1424786886.297
363263,1424786886295,1424786889776401229,-0.85943604,0.97846985,10.827544999999999,b,nexus4,nexus4_1,bike,2015-02-24T14:08:06.295+0000,1424786886.295
135282,1424786886295,100596761863000,-2.451632,0,10.266209,b,samsungold,samsungold_2,bike,2015-02-24T14:08:06.295+0000,1424786886.295
363262,1424786886291,1424786889771365829,-0.8118286,0.96061707,10.823975,b,nexus4,nexus4_1,bike,2015-02-24T14:08:06.291+0000,1424786886.291
363261,1424786886287,1424786889766330428,-0.7546997,0.96299744,10.732330000000001,b,nexus4,nexus4_1,bike,2015-02-24T14:08:06.287+0000,1424786886.287
183815,1424786886287,141083377301000,-2.0685901999999996,-1.7908629,9.921572,b,s3,s3_1,bike,2015-02-24T14:08:06.287+0000,1424786886.287
135281,1424786886286,100596752372000,-2.298405,0.45968100000000006,10.266209,b,samsungold,samsungold_2,bike,2015-02-24T14:08:06.286+0000,1424786886.286
363260,1424786886282,1424786889761264510,-0.647583,0.947525,10.66687,b,nexus4,nexus4_1,bike,2015-02-24T14:08:06.282+0000,1424786886.282
363259,1424786886281,1424786889756259627,-0.5071411,1.0570221000000002,10.685913000000001,b,nexus4,nexus4_1,bike,2015-02-24T14:08:06.281+0000,1424786886.281
363258,1424786886281,1424786889751193709,-0.40716553,1.068924,10.620453,b,nexus4,nexus4_1,bike,2015-02-24T14:08:06.281+0000,1424786886.281
135488,1424786886281,12556292279000,-1.9919509999999998,-0.153227,9.959755,b,samsungold,samsungold_1,bike,2015-02-24T14:08:06.281+0000,1424786886.281
363256,1424786886278,1424786889741122909,-0.38812256,1.1796111999999999,10.464539,b,nexus4,nexus4_1,bike,2015-02-24T14:08:06.278+0000,1424786886.278
363257,1424786886278,1424786889746188827,-0.44525146,1.159378,10.437164,b,nexus4,nexus4_1,bike,2015-02-24T14:08:06.278+0000,1424786886.278
183814,1424786886277,141083367162000,-2.135628,-1.7238252,9.883265,b,s3,s3_1,bike,2015-02-24T14:08:06.277+0000,1424786886.277
183813,1424786886267,141083357148000,-2.183512,-1.6184803,9.873688000000001,b,s3,s3_1,bike,2015-02-24T14:08:06.267+0000,1424786886.267
135280,1424786886266,100596732292000,-2.298405,0.612908,9.959755,b,samsungold,samsungold_2,bike,2015-02-24T14:08:06.266+0000,1424786886.266
135487,1424786886260,12556272382000,-2.145178,-0.153227,9.959755,b,samsungold,samsungold_1,bike,2015-02-24T14:08:06.260+0000,1424786886.26
363255,1424786886257,1424786889736087508,-0.29885864,1.1546173,10.337189,b,nexus4,nexus4_1,bike,2015-02-24T14:08:06.257+0000,1424786886.257
183812,1424786886257,141083347806000,-2.2984335,-1.4460978999999998,9.768343,b,s3,s3_1,bike,2015-02-24T14:08:06.257+0000,1424786886.257
363254,1424786886252,1424786889731052108,-0.3262329,1.2629242,10.41098,b,nexus4,nexus4_1,bike,2015-02-24T14:08:06.252+0000,1424786886.252
135486,1424786886250,12556261823000,-2.145178,0,10.112982,b,samsungold,samsungold_1,bike,2015-02-24T14:08:06.250+0000,1424786886.25
363253,1424786886247,1424786889726016708,-0.25720215,1.3343353,10.299103,b,nexus4,nexus4_1,bike,2015-02-24T14:08:06.247+0000,1424786886.247
183811,1424786886247,141083337164000,-2.4133554,-1.2162545,9.615114,b,s3,s3_1,bike,2015-02-24T14:08:06.247+0000,1424786886.247
135279,1424786886245,100596711876000,-2.451632,0.612908,9.959755,b,samsungold,samsungold_2,bike,2015-02-24T14:08:06.245+0000,1424786886.245
363252,1424786886242,1424786889721011825,-0.30004883,1.3545684999999998,10.261016999999999,b,nexus4,nexus4_1,bike,2015-02-24T14:08:06.242+0000,1424786886.242
363251,1424786886237,1424786889715945907,-0.23220825,1.4616851999999998,10.08606,b,nexus4,nexus4_1,bike,2015-02-24T14:08:06.237+0000,1424786886.237
183810,1424786886237,141083326777000,-2.4899697,-1.0630256,9.595961,b,s3,s3_1,bike,2015-02-24T14:08:06.237+0000,1424786886.237
135278,1424786886236,100596702324000,-2.451632,0.766135,10.112982,b,samsungold,samsungold_2,bike,2015-02-24T14:08:06.236+0000,1424786886.236
363250,1424786886232,1424786889710910506,-0.21554565,1.4759673999999998,10.103912,b,nexus4,nexus4_1,bike,2015-02-24T14:08:06.232+0000,1424786886.232
135485,1424786886230,12556241925000,-2.145178,0.306454,9.959755,b,samsungold,samsungold_1,bike,2015-02-24T14:08:06.230+0000,1424786886.23
363249,1424786886227,1424786889705905624,-0.40240479999999995,1.5211945,10.068207000000001,b,nexus4,nexus4_1,bike,2015-02-24T14:08:06.227+0000,1424786886.227
183809,1424786886226,141083316490000,-2.4420857000000002,-1.0821792,9.624691,b,s3,s3_1,bike,2015-02-24T14:08:06.226+0000,1424786886.226
363248,1424786886222,1424786889700839706,-0.5559387,1.6235503999999998,10.034882000000001,b,nexus4,nexus4_1,bike,2015-02-24T14:08:06.222+0000,1424786886.222
135484,1424786886221,12556232343000,-1.53227,0.45968100000000006,10.266209,b,samsungold,samsungold_1,bike,2015-02-24T14:08:06.221+0000,1424786886.221
363247,1424786886217,1424786889695804305,-0.75112915,1.6866302,10.101532,b,nexus4,nexus4_1,bike,2015-02-24T14:08:06.217+0000,1424786886.217
183808,1424786886216,141083306386000,-2.3463178,-1.091756,9.586383999999999,b,s3,s3_1,bike,2015-02-24T14:08:06.216+0000,1424786886.216
135277,1424786886215,100596681907000,-2.145178,0.9193620000000001,10.112982,b,samsungold,samsungold_2,bike,2015-02-24T14:08:06.215+0000,1424786886.215
363246,1424786886212,1424786889690799422,-0.83206177,1.7068633999999998,10.072968,b,nexus4,nexus4_1,bike,2015-02-24T14:08:06.212+0000,1424786886.212
115398,1424695509149,9226531856000,6.282307,0.153227,7.508122999999999,c,samsungold,samsungold_2,bike,2015-02-23T12:45:09.149+0000,1424695509.149
159530,1424695509148,51461049074000,-5.7843914000000005,0.5554548,5.650316,c,s3,s3_1,bike,2015-02-23T12:45:09.148+0000,1424695509.148
317802,1424695509145,1424697355199420247,-4.9463654,0.86227417,8.039932,c,nexus4,nexus4_2,bike,2015-02-23T12:45:09.145+0000,1424695509.145
114789,1424695509144,279236282316000,-5.056491,-1.072589,6.895214999999999,c,samsungold,samsungold_1,bike,2015-02-23T12:45:09.144+0000,1424695509.144
317801,1424695509143,1424697355194445882,-4.9082794000000005,0.6206665,8.396988,c,nexus4,nexus4_2,bike,2015-02-23T12:45:09.143+0000,1424695509.143
156062,1424695509143,273180901052000,-6.6654577,0.45968673,7.1155677,c,s3,s3_2,bike,2015-02-23T12:45:09.143+0000,1424695509.143
150604,1424695509143,13298652196000,6.315904,0.08499416,8.918402,c,s3mini,s3mini_1,bike,2015-02-23T12:45:09.143+0000,1424695509.143
115397,1424695509140,9226522304000,5.8226260000000005,0.45968100000000006,7.048442,c,samsungold,samsungold_2,bike,2015-02-23T12:45:09.140+0000,1424695509.14
159529,1424695509138,51461038949000,-5.8322754,0.6512229,5.995081,c,s3,s3_1,bike,2015-02-23T12:45:09.138+0000,1424695509.138
317800,1424695509134,1424697355189379964,-4.7987823,0.5218811,8.765945,c,nexus4,nexus4_2,bike,2015-02-23T12:45:09.134+0000,1424695509.134
317799,1424695509133,1424697355184344563,-4.695236,0.49331665,9.115860000000001,c,nexus4,nexus4_2,bike,2015-02-23T12:45:09.133+0000,1424695509.133
156061,1424695509133,273180890921000,-6.5505357,0.13407529999999998,7.153875,c,s3,s3_2,bike,2015-02-23T12:45:09.133+0000,1424695509.133
150603,1424695509133,13298642247000,7.2699933,0.18555063,8.236053,c,s3mini,s3mini_1,bike,2015-02-23T12:45:09.133+0000,1424695509.133
159528,1424695509128,51461028932000,-5.841851999999999,0.7278373,6.272808599999999,c,s3,s3_1,bike,2015-02-23T12:45:09.128+0000,1424695509.128
317798,1424695509125,1424697355179309163,-4.597641,0.53497314,9.065872,c,nexus4,nexus4_2,bike,2015-02-23T12:45:09.125+0000,1424695509.125
114788,1424695509124,279236261839000,-4.59681,-1.225816,6.282307,c,samsungold,samsungold_1,bike,2015-02-23T12:45:09.124+0000,1424695509.124
317797,1424695509123,1424697355174243245,-4.6464386,0.5563965,8.889725,c,nexus4,nexus4_2,bike,2015-02-23T12:45:09.123+0000,1424695509.123
156060,1424695509123,273180881143000,-6.4260373,-0.12449849,7.240066000000001,c,s3,s3_2,bike,2015-02-23T12:45:09.123+0000,1424695509.123
150602,1424695509123,13298632207000,7.9822683,0.22266077,8.055291,c,s3mini,s3mini_1,bike,2015-02-23T12:45:09.123+0000,1424695509.123
159527,1424695509118,51461018737000,-5.8705826,0.7278373,6.4260373,c,s3,s3_1,bike,2015-02-23T12:45:09.118+0000,1424695509.118
317796,1424695509115,1424697355169207845,-4.8523407,0.50045776,8.801651,c,nexus4,nexus4_2,bike,2015-02-23T12:45:09.115+0000,1424695509.115
114787,1424695509114,279236252317000,-4.443583,-1.379043,5.669398999999999,c,samsungold,samsungold_1,bike,2015-02-23T12:45:09.114+0000,1424695509.114
317795,1424695509113,1424697355164141927,-4.9535065000000005,0.41952515,8.683823,c,nexus4,nexus4_2,bike,2015-02-23T12:45:09.113+0000,1424695509.113
150601,1424695509113,13298622258000,8.236053,0.077811554,8.248025,c,s3mini,s3mini_1,bike,2015-02-23T12:45:09.113+0000,1424695509.113
115396,1424695509113,9226495998000,5.056491,0.766135,5.8226260000000005,c,samsungold,samsungold_2,bike,2015-02-23T12:45:09.113+0000,1424695509.113
156059,1424695509112,273180870567000,-6.3302693,-0.26815059999999996,7.278373200000001,c,s3,s3_2,bike,2015-02-23T12:45:09.112+0000,1424695509.112
159526,1424695509108,51461008629000,-5.889736,0.63206923,6.5792660000000005,c,s3,s3_1,bike,2015-02-23T12:45:09.108+0000,1424695509.108
317794,1424695509106,1424697355159228597,-4.997543299999999,0.40881348,8.47673,c,nexus4,nexus4_2,bike,2015-02-23T12:45:09.106+0000,1424695509.106
317793,1424695509105,1424697355154986653,-4.880905,0.45404053,8.331528,c,nexus4,nexus4_2,bike,2015-02-23T12:45:09.105+0000,1424695509.105
114786,1424695509104,279236241758000,-4.59681,-1.072589,5.669398999999999,c,samsungold,samsungold_1,bike,2015-02-23T12:45:09.104+0000,1424695509.104
150600,1424695509103,13298612218000,8.064867999999999,-0.19512744,8.309077,c,s3mini,s3mini_1,bike,2015-02-23T12:45:09.103+0000,1424695509.103
156058,1424695509102,273180860475000,-6.1100025,-0.38307226,7.1826053,c,s3,s3_2,bike,2015-02-23T12:45:09.102+0000,1424695509.102
317791,1424695509098,1424697355144213948,-4.622635,0.45166016,8.456497,c,nexus4,nexus4_2,bike,2015-02-23T12:45:09.098+0000,1424695509.098
317792,1424695509098,1424697355152026448,-4.724991,0.399292,8.373184,c,nexus4,nexus4_2,bike,2015-02-23T12:45:09.098+0000,1424695509.098
159525,1424695509097,51460998523000,-6.1100025,0.545878,6.6079965,c,s3,s3_1,bike,2015-02-23T12:45:09.097+0000,1424695509.097
114785,1424695509094,279236232328000,-4.59681,-1.072589,5.362945,c,samsungold,samsungold_1,bike,2015-02-23T12:45:09.094+0000,1424695509.094
150599,1424695509093,13298602269000,7.820659599999999,-0.5662286999999999,8.303091,c,s3mini,s3mini_1,bike,2015-02-23T12:45:09.093+0000,1424695509.093
156057,1424695509092,273180850382000,-5.889736,-0.49799395,6.924031299999999,c,s3,s3_2,bike,2015-02-23T12:45:09.092+0000,1424695509.092
115395,1424695509090,9226472316000,5.209718,0.612908,5.669398999999999,c,samsungold,samsungold_2,bike,2015-02-23T12:45:09.090+0000,1424695509.09
159524,1424695509087,51460988415000,-6.397307,0.41180268,6.483498,c,s3,s3_1,bike,2015-02-23T12:45:09.087+0000,1424695509.087
317790,1424695509085,1424697355139117513,-4.453628500000001,0.55163574,8.513626,c,nexus4,nexus4_2,bike,2015-02-23T12:45:09.085+0000,1424695509.085
317789,1424695509083,1424697355135424886,-4.3560333,0.61709595,8.738571,c,nexus4,nexus4_2,bike,2015-02-23T12:45:09.083+0000,1424695509.083
150598,1424695509083,13298592229000,7.820659599999999,-0.5662286999999999,8.303091,c,s3mini,s3mini_1,bike,2015-02-23T12:45:09.083+0000,1424695509.083
156056,1424695509082,273180840293000,-5.631162000000001,-0.5554548,6.5984197,c,s3,s3_2,bike,2015-02-23T12:45:09.082+0000,1424695509.082
317787,1424695509078,1424697355124408040,-4.239395,0.6956482,9.240829,c,nexus4,nexus4_2,bike,2015-02-23T12:45:09.078+0000,1424695509.078
317788,1424695509078,1424697355132464681,-4.239395,0.72540283,8.829025,c,nexus4,nexus4_2,bike,2015-02-23T12:45:09.078+0000,1424695509.078
159523,1424695509077,51460978311000,-6.7133417,0.23942018,6.2632318,c,s3,s3_1,bike,2015-02-23T12:45:09.077+0000,1424695509.077
114784,1424695509074,279236211881000,-4.750037,-0.766135,5.209718,c,samsungold,samsungold_1,bike,2015-02-23T12:45:09.074+0000,1424695509.074
150597,1424695509073,13298582280000,7.677007700000001,-0.93493575,8.313866,c,s3mini,s3mini_1,bike,2015-02-23T12:45:09.073+0000,1424695509.073
156055,1424695509072,273180829990000,-5.430049400000001,-0.6512229,6.1770406,c,s3,s3_2,bike,2015-02-23T12:45:09.072+0000,1424695509.072
327525,1424783503590,1424785348909357927,-5.456955000000001,-2.6618652000000003,8.144669,d,nexus4,nexus4_2,bike,2015-02-24T13:11:43.590+0000,1424783503.59
